,logFC,AveExpr,t,P.Value,adj.P.Val,B
SDHA,0.044304042,9.063887675,0.254646052,0.800383368,0.962288958,-5.983389594
OCIAD1,-0.042955935,8.68772405,-0.254043062,0.800845702,0.962288958,-5.906435308
NCK2,0.04467977,8.77531414,0.251804694,0.802562572,0.962288958,-5.92775288
SEMA4A,-0.046654017,8.265601242,-0.251584456,0.802731553,0.962288958,-5.813249609
EIF4H,-0.051097388,8.680332925,-0.251158872,0.803058115,0.962288958,-5.884515757
CYFIP2,0.055001497,8.466914661,0.250680939,0.803424889,0.962288958,-5.880079756
SELENOW,0.055579013,8.508084625,0.250439044,0.80361054,0.962288958,-5.854723466
FOSL2,-0.04787783,8.438066985,-0.250083851,0.803883166,0.962288958,-5.874073147
WAC,-0.042490343,8.466874274,-0.250068374,0.803895047,0.962288958,-5.86172057
ALDOA,-0.028626155,10.61576546,-0.249367338,0.804433199,0.962288958,-6.364486455
AMPD2,0.04826011,8.497699109,0.248935132,0.804765031,0.962288958,-5.877271056
SON,-0.055500907,8.637960806,-0.246002798,0.807017334,0.962288958,-5.919480806
MYLK,0.06514867,8.389342572,0.245938449,0.807066779,0.962288958,-5.860686748
HNRNPA0,-0.058059599,8.206684904,-0.245841406,0.807141347,0.962288958,-5.802349838
TOMM40,0.055171812,8.590333232,0.245604566,0.807323342,0.962288958,-5.870932362
MOB1A,-0.059269805,8.764716243,-0.243083695,0.80926113,0.962288958,-5.903861574
SRSF9,0.0482642,8.602422452,0.241603271,0.810399697,0.962288958,-5.88599247
TOMM7,-0.045552951,8.687370867,-0.241452398,0.810515754,0.962288958,-5.908972173
EID1,0.043959505,8.457978022,0.239806318,0.811782262,0.962288958,-5.870545405
ARHGEF1,-0.029537933,10.1653545,-0.237881723,0.81326371,0.962288958,-6.270258195
FTH1,0.034319486,13.47707147,0.237335803,0.813684056,0.962288958,-6.714744255
ELK4,0.047511607,8.598114586,0.236814423,0.814085559,0.962288958,-5.88490634
LPIN2,0.04249966,8.235816173,0.235672848,0.814964838,0.962288958,-5.819250525
RPL34,0.022411723,11.78682435,0.235571949,0.815042566,0.962288958,-6.534950746
H2AC21,0.047048154,9.337955463,0.234882137,0.815574012,0.962288958,-6.072206763
APOBEC3G,-0.046793595,9.376692893,-0.233265054,0.816820194,0.962288958,-6.119748941
OR2A14,0.047843732,8.363823547,0.233181558,0.816884552,0.962288958,-5.84597773
RBM39,0.042553077,8.796401866,0.232728684,0.817233647,0.962288958,-5.940281384
ESYT1,0.03982867,9.067201263,0.232712473,0.817246144,0.962288958,-6.031495056
CTNNB1,0.050276974,8.514504995,0.232623202,0.817314962,0.962288958,-5.854534688
PSMB3,-0.046105794,8.368147831,-0.232323063,0.817546349,0.962288958,-5.841439618
MSN,-0.028539678,9.880112367,-0.231139823,0.818458707,0.962288958,-6.21424075
APH1A,0.049033567,8.618830428,0.228324647,0.820630423,0.962288958,-5.902812253
PET100,0.046550106,8.631034354,0.228304034,0.82064633,0.962288958,-5.891307389
NDUFS5,0.04544304,8.395561493,0.22796409,0.820908672,0.962288958,-5.837272592
GJC2,0.04769321,8.357807401,0.226865191,0.821756858,0.962288958,-5.825326882
ARHGAP30,-0.04922969,8.738797456,-0.2261873,0.822280197,0.962288958,-5.941852313
DOCK2,0.04770556,8.595137843,0.224825223,0.823331983,0.962288958,-5.879614063
DDX17,-0.029490187,10.2734049,-0.224054657,0.823927155,0.962288958,-6.292050914
EIF3G,-0.048024804,8.770811983,-0.223974323,0.823989209,0.962288958,-5.913227813
RIN2,0.05594195,8.530725822,0.223036864,0.824713442,0.962288958,-5.880179673
USF2,0.044406989,8.530926208,0.220591361,0.826603441,0.963629998,-5.85314761
LONP2,0.048110266,8.39932997,0.217898745,0.828685631,0.965192485,-5.835780762
HP1BP3,0.040753697,8.50183021,0.215559274,0.830495751,0.966435575,-5.864915642
C4orf46,0.02981011,11.25666883,0.214243203,0.831514449,0.966756298,-6.483944479
PIEZO1,0.037631065,8.912034551,0.208924244,0.83563454,0.967795771,-5.978750181
LAMP1,-0.037658573,8.779533918,-0.208682263,0.835822092,0.967795771,-5.922188135
KPNA3,0.044406,8.873034411,0.208454214,0.835998855,0.967795771,-5.950140156
PPIAL4F,0.054872668,8.536188016,0.208276599,0.836136532,0.967795771,-5.896541051
EVX1,0.050605677,8.65005684,0.20761006,0.836653241,0.967795771,-5.943633381
LCP1,0.028315128,10.33407518,0.206446795,0.837555194,0.967795771,-6.309395698
FBXW4,0.047947907,8.520527392,0.206119917,0.837808683,0.967795771,-5.87209787
SRGAP2B,-0.029409729,9.252082273,-0.205409586,0.838359596,0.967795771,-6.0607723
PPIA,0.028355621,10.63187691,0.203534387,0.839814341,0.968615653,-6.38103239
UQCR11,0.041559503,8.653418187,0.19661937,0.845183767,0.973945155,-5.899158211
TRAF3IP3,-0.036031941,8.948191726,-0.194374685,0.84692836,0.975091855,-5.957965464
EIF4A2,0.036698992,9.287076058,0.193255584,0.847798429,0.975230554,-6.051526356
MATR3,0.039001678,8.858288676,0.191435056,0.849214251,0.975996237,-5.941877061
HNRNPA3,-0.030894986,10.89541709,-0.188405079,0.851571778,0.976969976,-6.448671084
TNKS2,0.039126828,8.35644028,0.185601736,0.853754199,0.976969976,-5.834133239
SLC25A5,-0.033938583,9.564891428,-0.185476071,0.853852057,0.976969976,-6.145960907
UBE2V2,0.034225722,9.015806582,0.185297929,0.853990785,0.976969976,-5.996397158
H2AC20,-0.058034533,8.391303479,-0.182740071,0.855983226,0.976969976,-5.850938456
HNRNPUL2,-0.031488535,9.004679093,-0.181888069,0.856647104,0.976969976,-6.015094159
TBC1D3C,-0.02595231,9.698301565,-0.180961013,0.857369585,0.976969976,-6.16833722
FCGR1A,0.043486976,8.558621754,0.180903692,0.857414261,0.976969976,-5.887957158
ARPC1B,0.0386956,9.888796418,0.180808367,0.857488558,0.976969976,-6.233950069
ABHD17A,0.034605948,9.224379659,0.18070275,0.857570879,0.976969976,-6.05845451
CSDE1,-0.034983833,9.242842173,-0.179355811,0.858620857,0.977030849,-6.046359347
TLE5,0.025798905,9.802291919,0.175940624,0.861284257,0.977030849,-6.192350544
FCF1,0.046834766,11.50297016,0.17570127,0.861470985,0.977030849,-6.520384639
NACA,0.032013888,9.179250005,0.175676963,0.861489947,0.977030849,-6.036707369
RSRP1,0.029704111,8.718810728,0.175310802,0.861775617,0.977030849,-5.934341803
CITED2,-0.041678037,8.466170537,-0.17485632,0.862130218,0.977030849,-5.860142021
SH3BGRL3,0.015892021,11.19052753,0.16976102,0.866107695,0.97872854,-6.468702042
GPAA1,0.037558096,8.223441163,0.16815651,0.867360939,0.97872854,-5.812001216
CYTIP,-0.03138427,9.033929109,-0.167077057,0.868204269,0.97872854,-5.999602048
TMSB4X,0.017597246,13.21585746,0.16699716,0.868266695,0.97872854,-6.721662723
HNRNPF,0.026363625,9.490591461,0.165835758,0.869174235,0.97872854,-6.115838017
LIMD1,-0.033484145,8.586713284,-0.165824934,0.869182693,0.97872854,-5.918493006
EVL,0.020496638,10.78490604,0.165569495,0.869382322,0.97872854,-6.406162408
ANKRD36,0.028816067,8.81636925,0.165072744,0.869770565,0.97872854,-5.936271048
FBXO24,-0.038714851,8.370605092,-0.164268933,0.870398863,0.97872854,-5.84817918
YWHAZ,-0.017835169,10.44980519,-0.162626658,0.871682809,0.97932585,-6.338603967
H3C2,-0.025470493,11.01715636,-0.159514716,0.874116718,0.980416703,-6.454165171
TASOR2,-0.018149129,10.03763222,-0.159458197,0.874160934,0.980416703,-6.268912294
C6orf62,0.025381774,9.351708785,0.158173172,0.875166349,0.980610772,-6.095705146
H3C12,0.040316124,8.840568878,0.157310482,0.875841443,0.980610772,-5.987830332
CTDNEP1,-0.025944982,9.037501973,-0.156183058,0.876723844,0.980754705,-6.023107633
TMEM258,0.031007485,8.640462159,0.154258924,0.878230176,0.981028696,-5.923165349
SASH3,-0.025611713,9.11209057,-0.153506026,0.878819716,0.981028696,-6.020262495
GYPC,0.029545013,9.390373682,0.152465818,0.879634343,0.981028696,-6.082283382
COX6A1,-0.035009395,8.60249016,-0.152018108,0.879985003,0.981028696,-5.912533938
DHX15,-0.033540006,8.740434689,-0.150278743,0.881347557,0.981706483,-5.971073675
CIRBP,-0.036648917,8.870547691,-0.148264461,0.882925927,0.982623295,-5.950237804
SRSF1,0.021069765,9.476731837,0.146297722,0.88446751,0.983497633,-6.122720284
WSB1,0.036056175,8.499755722,0.144668078,0.885745214,0.984077305,-5.873921286
PSMA6,0.035684777,8.242427523,0.142860159,0.887163054,0.984742799,-5.818124929
SRSF2,0.018647545,9.701659656,0.141302615,0.888384842,0.984742799,-6.17436608
CBWD2,0.034723623,8.634997703,0.140425239,0.889073205,0.984742799,-5.917390287
ZYX,-0.025912086,9.522969636,-0.138597701,0.890507317,0.984742799,-6.134954201
H4C8,0.026360478,10.44825221,0.137758391,0.891166069,0.984742799,-6.343765986
OTUB1,0.029435623,8.48410481,0.136133763,0.892441416,0.984742799,-5.863598736
OGA,-0.033570459,8.714673964,-0.135414484,0.893006149,0.984742799,-5.921792644
CDC42,0.017595028,9.934626591,0.132713757,0.895127094,0.984742799,-6.265595083
DRD5,0.040006871,8.899467336,0.131086982,0.896405016,0.984742799,-5.948487061
GNLY,0.021731646,9.527090103,0.130981168,0.896488149,0.984742799,-6.233301719
UBE2S,-0.031074758,8.597412329,-0.128908984,0.898116392,0.984742799,-5.922186421
RPS21,0.014137595,10.21449561,0.12867976,0.898296535,0.984742799,-6.294620592
DCK,-0.029573571,8.399276697,-0.12845363,0.898474252,0.984742799,-5.858714505
SRCAP,-0.027235876,8.288362784,-0.128162952,0.898702705,0.984742799,-5.839484526
EEF1D,-0.014637522,10.15468528,-0.128116983,0.898738835,0.984742799,-6.288292858
RAP1B,0.030218281,8.526088431,0.127686864,0.899076897,0.984742799,-5.895607703
CHD3,-0.024466721,8.467414272,-0.125451834,0.900833879,0.984742799,-5.868087952
ENO1,0.020469328,9.48634254,0.123473499,0.902389492,0.984742799,-6.117372113
TDG,-0.023177659,8.512328028,-0.123387108,0.902457432,0.984742799,-5.895439054
COL1A2,-0.027131578,12.23342667,-0.122883041,0.902853859,0.984742799,-6.627972098
BIN1,-0.023908736,8.794455112,-0.121757701,0.903738982,0.984742799,-5.967863086
SPANXA1,0.02917155,8.387555411,0.120796239,0.904495307,0.984742799,-5.868290318
CYBA,-0.023918262,9.230322453,-0.119692558,0.905363618,0.984742799,-6.084167534
P4HB,-0.019456661,8.707173242,-0.119583623,0.905449327,0.984742799,-5.935239071
MIER1,-0.028246907,8.213966489,-0.118901009,0.905986434,0.984742799,-5.810869657
WIPF1,-0.015074886,10.12256949,-0.116755797,0.907674659,0.984742799,-6.297378001
HSP90AB1,0.021860244,9.825201985,0.11620261,0.908110073,0.984742799,-6.23241519
FOXN3,0.026287346,8.479664889,0.115742155,0.908472519,0.984742799,-5.85474478
CCT5,-0.023450353,8.399983041,-0.115126321,0.908957303,0.984742799,-5.85009242
CD3G,0.023822335,8.525999574,0.115006568,0.909051577,0.984742799,-5.871461369
DDX39B,0.018227919,8.913661541,0.112073913,0.911360672,0.984848822,-5.969896869
ADGRE5,-0.018435344,9.793370043,-0.108580533,0.914112283,0.984848822,-6.207555812
MTCH1,-0.020830295,8.809535181,-0.106932722,0.915410579,0.984848822,-5.934777281
EMB,-0.026253112,8.571479136,-0.106204974,0.91598404,0.984848822,-5.908247075
ZNF417,-0.018009396,9.212642377,-0.106085087,0.916078515,0.984848822,-6.05544371
ATP5F1A,0.016319997,8.933259795,0.105758622,0.916335785,0.984848822,-5.977709627
LDB1,-0.022099112,8.461534372,-0.105236169,0.916747523,0.984848822,-5.864857519
CBX4,0.026074404,8.661910126,0.105052773,0.916892061,0.984848822,-5.927000743
NFKB2,-0.023727377,8.746737649,-0.104082787,0.91765657,0.984848822,-5.973908982
AK2,0.018222867,8.697724016,0.104057808,0.917676259,0.984848822,-5.917735245
UQCRHL,0.025884128,8.661902598,0.102312096,0.919052371,0.984848822,-5.925407453
DDX4,-0.033663446,8.440620164,-0.101782464,0.91946992,0.984848822,-5.874489603
HCST,0.01627374,9.389842925,0.101472078,0.919714631,0.984848822,-6.109393273
H2BC10,0.017827932,9.929045627,0.101430563,0.919747362,0.984848822,-6.26423851
RPL19,0.012630337,10.87898663,0.093548311,0.925964423,0.990204043,-6.428073276
QKI,-0.021885359,9.239354594,-0.093160023,0.926270808,0.990204043,-6.079702214
EIF4A1,-0.018971581,9.312873994,-0.089110994,0.929466416,0.991907898,-6.104197449
CAPNS1,-0.01404563,9.22920917,-0.087097307,0.93105612,0.991907898,-6.058414721
NSD3,-0.017605314,8.745175511,-0.086718119,0.931355501,0.991907898,-5.958693983
RPS17,0.00785829,11.72683859,0.085497755,0.932319088,0.991907898,-6.553850801
BZW1,-0.014982981,8.393551641,-0.084447607,0.933148358,0.991907898,-5.866276542
GZMA,-0.009332819,10.7794257,-0.08340651,0.933970554,0.991907898,-6.446535785
TCIRG1,-0.012538126,9.239757942,-0.083233509,0.934107187,0.991907898,-6.060646056
RAB7A,-0.012768424,9.620158676,-0.08287372,0.934391348,0.991907898,-6.157527458
CPLX2,-0.016408857,8.60249898,-0.081414092,0.93554425,0.991907898,-5.900403373
YME1L1,-0.019251278,8.414515535,-0.08016259,0.936532874,0.991907898,-5.857860744
UPK3BL1,-0.011719073,9.436132902,-0.079136028,0.937343882,0.991907898,-6.113395249
SRP14,0.016752737,8.515775921,0.079039298,0.937420305,0.991907898,-5.917071706
ZDHHC12,0.021387657,8.343274596,0.077573138,0.938578733,0.991907898,-5.863538531
CDKN2D,0.019776342,8.769207531,0.076906141,0.939105779,0.991907898,-5.9753843
RPL17,0.012010505,10.40100146,0.076659158,0.939300946,0.991907898,-6.35526292
NDUFB4,0.013987688,8.614812128,0.075645863,0.940101697,0.991948344,-5.905058828
CD53,0.014876197,8.775141032,0.072875546,0.942291245,0.992212431,-5.971152362
KRT34,0.015704687,8.476316944,0.070781053,0.943946951,0.992212431,-5.899903414
ZNF723,0.013750605,8.431699343,0.070303527,0.944324473,0.992212431,-5.870891145
SRSF3,0.015464448,8.78834223,0.070008244,0.944557924,0.992212431,-5.983499855
RAP1A,0.010970116,9.276781063,0.069995562,0.94456795,0.992212431,-6.081424145
H2AZ1,-0.009740817,9.643414277,-0.069540284,0.944927903,0.992212431,-6.180458785
SMARCE1,0.013190825,8.72296515,0.066047692,0.94768961,0.99362617,-5.944961468
PRR32,0.011206613,8.992421128,0.064223758,0.949132116,0.99362617,-6.035628231
CDK16,0.014446233,8.486250211,0.064142583,0.949196319,0.99362617,-5.891603522
MAP4K1,-0.011192319,8.589187384,-0.062681046,0.950352346,0.99362617,-5.910477686
EIF3M,-0.012720657,8.724170094,-0.06213246,0.950786287,0.99362617,-5.950038313
PDXDC1,-0.010870913,8.74481721,-0.061726579,0.951107356,0.99362617,-5.938114657
UPK3BL2,0.012509399,8.609734157,0.05995948,0.9525053,0.99362617,-5.908459257
TNFRSF1B,0.009873221,9.008106762,0.059575399,0.952809165,0.99362617,-6.011239027
MAP2K3,-0.01548319,8.492781497,-0.058317846,0.953804127,0.99362617,-5.889196642
PRPF38B,0.011441434,8.405101339,0.058181922,0.953911673,0.99362617,-5.867386868
KHDRBS1,-0.012763484,8.390243674,-0.055734757,0.955848069,0.99447936,-5.873956067
OGT,-0.011054714,9.00592928,-0.054660929,0.956697856,0.99447936,-5.986068945
UBE2I,0.011080773,8.622271833,0.05424888,0.95702395,0.99447936,-5.898981203
TSPY1,0.012648275,8.920635417,0.050757842,0.959787035,0.994842283,-6.003848736
CNPY3,-0.00862316,8.8421634,-0.050031948,0.960361629,0.994842283,-5.970637808
MKNK2,-0.007704536,9.230152274,-0.048539047,0.961543428,0.994842283,-6.068147853
GRK2,0.007764497,9.258274969,0.04645757,0.963191298,0.994842283,-6.074444281
JPT1,-0.009821858,8.409730398,-0.045937034,0.963603424,0.994842283,-5.864520078
MRPS30,-0.008739248,8.266704705,-0.045307496,0.964101863,0.994842283,-5.817613599
CCDC107,-0.006198324,9.560944967,-0.04339015,0.965620019,0.994842283,-6.174835042
PRMT1,-0.010981134,8.434027401,-0.042480403,0.966340403,0.994842283,-5.859165411
ST6GALNAC6,0.006262486,9.121511323,0.041363307,0.967225016,0.994842283,-6.042141956
SPN,0.008304144,8.913394226,0.041197799,0.967356083,0.994842283,-5.995934003
PTPN11,0.00981977,8.320601199,0.040325022,0.968047257,0.994842283,-5.88602255
LPXN,0.008557763,8.49154118,0.038760352,0.96928642,0.994842283,-5.877751563
SND1,0.007682459,9.085551447,0.037297692,0.970444864,0.994842283,-6.020019444
SNRPB,-0.008156472,8.874070077,-0.03726136,0.970473641,0.994842283,-5.960892006
NPAP1L,0.006166172,9.478276441,0.036852434,0.970797528,0.994842283,-6.127444992
USP17L11,0.012441602,9.866065081,0.035935873,0.9715235,0.994842283,-6.283291206
THRAP3,-0.005856296,8.994501989,-0.035908126,0.971545478,0.994842283,-6.003218692
IQGAP1,0.005350181,9.069624808,0.035870385,0.971575372,0.994842283,-6.002679378
MCRIP2,0.007378388,8.859427863,0.032040698,0.974608986,0.994842283,-5.975900476
CCL4L2,-0.009962256,8.787883426,-0.031159951,0.975306709,0.994842283,-5.977711958
CTSB,-0.009754306,9.275938707,-0.031119695,0.9753386,0.994842283,-6.029028322
POLR2L,0.007185325,8.47754239,0.030890245,0.975520372,0.994842283,-5.885445214
SS18,-0.006401022,8.486600412,-0.027870943,0.977912412,0.994842283,-5.893112449
MAT2B,0.005084833,8.786624667,0.026675807,0.978859315,0.994842283,-5.939506215
TRA2A,-0.004628669,8.608190722,-0.025965477,0.979422123,0.994842283,-5.907113806
XBP1,-0.007289927,8.950494674,-0.025589253,0.979720217,0.994842283,-6.003242673
RAVER1,0.006234318,8.383972072,0.025233657,0.980001969,0.994842283,-5.858459114
IL2RG,0.00348323,10.16900642,0.024827733,0.980323601,0.994842283,-6.313766002
GAK,-0.005027689,8.638064016,-0.024799713,0.980345803,0.994842283,-5.924317733
FXYD5,0.003832011,9.893285783,0.024415323,0.980650376,0.994842283,-6.264306498
RPS13,0.003562182,9.835611171,0.023875475,0.981078132,0.994842283,-6.204872892
DCTN5,0.003986597,8.527774962,0.021645356,0.982845255,0.995275755,-5.898239797
LIMD2,0.002992616,9.89759033,0.021291855,0.983125374,0.995275755,-6.228593085
SLC6A6,0.003631467,9.608943657,0.019455836,0.984580293,0.995275755,-6.160175066
CAPG,0.003406825,8.623659374,0.018742758,0.985145373,0.995275755,-5.921791847
RPL14,0.00176472,10.55444746,0.018394992,0.985420963,0.995275755,-6.372631522
FGD3,0.00345132,8.421107718,0.017074439,0.986467466,0.995275755,-5.874842764
LAT,0.002514388,9.542268228,0.016578281,0.986860664,0.995275755,-6.170986294
H1-4,-0.002423779,11.3902996,-0.014643877,0.988393681,0.995735539,-6.517273228
DENND1C,0.002396412,8.992752347,0.014071519,0.988847284,0.995735539,-6.005910388
WASHC1,-0.00184016,9.694797146,-0.012717181,0.989920635,0.995804775,-6.187816335
F8A1,0.003120716,8.465155357,0.012053193,0.990446871,0.995804775,-5.867129502
REX1BD,0.002160442,8.343385631,0.010710854,0.991510738,0.995823211,-5.844342649
MLLT6,0.001790773,8.937428162,0.010098497,0.991996066,0.995823211,-6.010206873
PGK1,0.001230598,9.693609167,0.008346902,0.99338432,0.996447957,-6.20010141
CASP1,-0.002013009,8.311838828,-0.007334434,0.994186778,0.99648459,-5.847978268
PXN,0.001252189,8.42742701,0.006365336,0.994954867,0.996486745,-5.880734944
CD99,-0.000769335,9.331103211,-0.00496054,0.99606829,0.996834497,-6.092959066
SYTL1,0.000538296,8.491755896,0.002984021,0.997634867,0.997634867,-5.878382883
