"","PCO
in vivo","ePCO
in vivo","Prim
IHD","Prim
CBD","Prim
GB"
"PCO
in vivo",1,0.773163331284842,0.426831840117805,-0.403267598922295,-0.524400879422756
"ePCO
in vivo",0.773163331284842,1,0.471697920395907,-0.215036423340722,-0.350221905446428
"Prim
IHD",0.426831840117805,0.471697920395907,1,0.130371046383958,-0.14830565042955
"Prim
CBD",-0.403267598922295,-0.215036423340722,0.130371046383958,1,0.63846164086668
"Prim
GB",-0.524400879422756,-0.350221905446428,-0.14830565042955,0.63846164086668,1
