Region,CellTypes,Count,Condition
AD08,CD8 Naive,41.77913948,WT
AD08,CD8 Central,67.79891126,WT
AD08,Tregs,24.08895733,WT
AD08,CD4 Naive,58.488965,WT
AD08,CD4 Central,57.41188194,WT
AD08,CD4/8 Effector,29.7517087,WT
AD09,Others,12.31781586,WT
AD09,Monocytes,1.335524925,WT
AD09,DCs,0.80419075,WT
AD09,B cells,0.789780134,WT
AD09,CD8 Naive,1.313417688,WT
AD09,CD8 Central,13.47109444,WT
AD09,Tregs,0,WT
AD09,CD4 Naive,11.63116715,WT
AD09,CD4 Central,13.37889049,WT
AD09,CD4/8 Effector,3.589611639,WT
AD10,Others,11.0869285,WT
AD10,Monocytes,1.139150735,WT
AD10,DCs,0.400305874,WT
AD10,B cells,0.336420435,WT
AD10,CD8 Naive,0,WT
AD10,CD8 Central,9.763114416,WT
AD10,Tregs,0,WT
AD10,CD4 Naive,11.23031432,WT
AD10,CD4 Central,11.54021003,WT
AD10,CD4/8 Effector,3.895109685,WT
AD12,Others,110.4031638,WT
AD12,Monocytes,8.708642544,WT
AD12,DCs,4.716248623,WT
AD12,B cells,10.43804295,WT
AD12,CD8 Naive,42.6542522,WT
AD12,CD8 Central,90.2948318,WT
AD12,Tregs,38.17044608,WT
AD12,CD4 Naive,87.15873126,WT
AD12,CD4 Central,71.91683189,WT
AD12,CD4/8 Effector,33.82680016,WT
AE02,Others,87.36727461,WT
AE02,Monocytes,8.381678452,WT
AE02,DCs,6.874900005,WT
AE02,B cells,1.979340661,WT
AE02,CD8 Naive,31.99238302,WT
AE02,CD8 Central,79.64981317,WT
AE02,Tregs,9.657060927,WT
AE02,CD4 Naive,80.60689283,WT
AE02,CD4 Central,69.98961698,WT
AE02,CD4/8 Effector,27.91627167,WT
AE04,Others,73.01811642,WT
AE04,Monocytes,6.959913133,WT
AE04,DCs,3.974874348,WT
AE04,B cells,6.218662147,WT
AE04,CD8 Naive,25.07869672,WT
AE04,CD8 Central,74.45525787,WT
AE04,Tregs,9.506928975,WT
AE04,CD4 Naive,66.05631447,WT
AE04,CD4 Central,74.68147869,WT
AE04,CD4/8 Effector,22.55936329,WT
AE06,Others,30.90570162,WT
AE06,Monocytes,1.098512893,WT
AE06,DCs,1.53429493,WT
AE06,B cells,0.556551168,WT
AE06,CD8 Naive,4.219522297,WT
AE06,CD8 Central,38.87767715,WT
AE06,Tregs,0,WT
AE06,CD4 Naive,37.93465752,WT
AE06,CD4 Central,16.09023056,WT
AE06,CD4/8 Effector,8.307742347,WT
AE08,Others,15.09532499,DKO
AE08,Monocytes,1.752666441,DKO
AE08,DCs,0.939109422,DKO
AE08,B cells,0.014842329,DKO
AE08,CD8 Naive,7.8813027,DKO
AE08,CD8 Central,20.28815453,DKO
AE08,Tregs,0,DKO
AE08,CD4 Naive,8.943416305,DKO
AE08,CD4 Central,19.32103732,DKO
AE08,CD4/8 Effector,3.528604946,DKO
AE10,Others,37.52465549,DKO
AE10,Monocytes,4.435827724,DKO
AE10,DCs,1.092210848,DKO
AE10,B cells,0,DKO
AE10,CD8 Naive,0,DKO
AE10,CD8 Central,35.52819511,DKO
AE10,Tregs,0,DKO
AE10,CD4 Naive,30.61646403,DKO
AE10,CD4 Central,28.28318709,DKO
AE10,CD4/8 Effector,5.317272627,DKO
AE12,Others,8.663533713,DKO
AE12,Monocytes,0.557098711,DKO
AE12,DCs,0.32476299,DKO
AE12,B cells,0,DKO
AE12,CD8 Naive,2.306226023,DKO
AE12,CD8 Central,15.71634618,DKO
AE12,Tregs,0,DKO
AE12,CD4 Naive,10.90889422,DKO
AE12,CD4 Central,15.72437248,DKO
AE12,CD4/8 Effector,2.835587582,DKO
AF01,Others,6.274274455,DKO
AF01,Monocytes,0.648075584,DKO
AF01,DCs,0.218778507,DKO
AF01,B cells,0.153250951,DKO
AF01,CD8 Naive,2.443385547,DKO
AF01,CD8 Central,6.576294215,DKO
AF01,Tregs,0,DKO
AF01,CD4 Naive,4.110707977,DKO
AF01,CD4 Central,7.28124694,DKO
AF01,CD4/8 Effector,1.887764857,DKO
AF03,Others,31.44011211,DKO
AF03,Monocytes,0.125621313,DKO
AF03,DCs,0.201097537,DKO
AF03,B cells,2.576322274,DKO
AF03,CD8 Naive,16.47428941,DKO
AF03,CD8 Central,24.08806199,DKO
AF03,Tregs,0,DKO
AF03,CD4 Naive,7.890020352,DKO
AF03,CD4 Central,34.04447832,DKO
AF03,CD4/8 Effector,7.468846064,DKO
AF05,Others,19.60041932,DKO
AF05,Monocytes,3.000914096,DKO
AF05,DCs,0,DKO
AF05,B cells,0,DKO
AF05,CD8 Naive,16.09894029,DKO
AF05,CD8 Central,27.50742336,DKO
AF05,Tregs,0,DKO
AF05,CD4 Naive,10.86917018,DKO
AF05,CD4 Central,36.64030321,DKO
AF05,CD4/8 Effector,4.214414449,DKO
AF07,Others,14.2765439,DKO
AF07,Monocytes,4.661484701,DKO
AF07,DCs,0.457575175,DKO
AF07,B cells,0,DKO
AF07,CD8 Naive,5.709931013,DKO
AF07,CD8 Central,15.60867303,DKO
AF07,Tregs,0,DKO
AF07,CD4 Naive,0,DKO
AF07,CD4 Central,18.46975091,DKO
AF07,CD4/8 Effector,4.010841806,DKO
BB03,Others,79.36734512,DKO
BB03,Monocytes,9.913157586,DKO
BB03,DCs,2.823824891,DKO
BB03,B cells,0,DKO
BB03,CD8 Naive,41.07969374,DKO
BB03,CD8 Central,84.69069175,DKO
BB03,Tregs,0,DKO
BB03,CD4 Naive,79.77970297,DKO
BB03,CD4 Central,71.29141078,DKO
BB03,CD4/8 Effector,28.89293247,DKO
BB05,Others,59.63138644,DKO
BB05,Monocytes,6.863593753,DKO
BB05,DCs,2.180150152,DKO
BB05,B cells,0,DKO
BB05,CD8 Naive,16.19063111,DKO
BB05,CD8 Central,53.90307486,DKO
BB05,Tregs,0,DKO
BB05,CD4 Naive,30.24122843,DKO
BB05,CD4 Central,82.94779797,DKO
BB05,CD4/8 Effector,22.52346875,DKO
BB06,Others,33.16601503,DKO
BB06,Monocytes,1.569339575,DKO
BB06,DCs,3.191040222,DKO
BB06,B cells,5.824675755,DKO
BB06,CD8 Naive,9.546965552,DKO
BB06,CD8 Central,56.11198187,DKO
BB06,Tregs,0,DKO
BB06,CD4 Naive,34.53449973,DKO
BB06,CD4 Central,54.24041724,DKO
BB06,CD4/8 Effector,8.539489824,DKO
BB08,Others,32.87455446,DKO
BB08,Monocytes,4.823802363,DKO
BB08,DCs,0.278527105,DKO
BB08,B cells,0,DKO
BB08,CD8 Naive,20.60541617,DKO
BB08,CD8 Central,46.37465963,DKO
BB08,Tregs,0,DKO
BB08,CD4 Naive,27.81507613,DKO
BB08,CD4 Central,40.60734919,DKO
BB08,CD4/8 Effector,8.493899257,DKO
BB10,Others,36.04782205,DKO
BB10,Monocytes,3.514214629,DKO
BB10,DCs,2.233016163,DKO
BB10,B cells,0,DKO
BB10,CD8 Naive,0,DKO
BB10,CD8 Central,54.82897375,DKO
BB10,Tregs,0,DKO
BB10,CD4 Naive,32.64496908,DKO
BB10,CD4 Central,63.20006174,DKO
BB10,CD4/8 Effector,13.66690855,DKO
BB12,Others,40.58520546,DKO
BB12,Monocytes,4.170605537,DKO
BB12,DCs,0.978913427,DKO
BB12,B cells,2.763167775,DKO
BB12,CD8 Naive,27.56711461,DKO
BB12,CD8 Central,46.67058256,DKO
BB12,Tregs,0,DKO
BB12,CD4 Naive,25.76768669,DKO
BB12,CD4 Central,51.61108816,DKO
BB12,CD4/8 Effector,15.04533425,DKO
BC02,Others,92.03367739,DKO
BC02,Monocytes,8.179108808,DKO
BC02,DCs,6.942571138,DKO
BC02,B cells,0.064118083,DKO
BC02,CD8 Naive,23.48093114,DKO
BC02,CD8 Central,110.8498762,DKO
BC02,Tregs,0,DKO
BC02,CD4 Naive,98.2847925,DKO
BC02,CD4 Central,61.75373267,DKO
BC02,CD4/8 Effector,21.47402985,DKO
BC04,Others,54.95062327,DKO
BC04,Monocytes,1.151707964,DKO
BC04,DCs,1.398660225,DKO
BC04,B cells,7.172409037,DKO
BC04,CD8 Naive,34.05198804,DKO
BC04,CD8 Central,54.63860139,DKO
BC04,Tregs,0,DKO
BC04,CD4 Naive,13.66404508,DKO
BC04,CD4 Central,78.6971041,DKO
BC04,CD4/8 Effector,14.5146164,DKO
BC05,Others,28.12284511,DKO
BC05,Monocytes,2.740176925,DKO
BC05,DCs,0.33046414,DKO
BC05,B cells,0.307675844,DKO
BC05,CD8 Naive,7.701910195,DKO
BC05,CD8 Central,25.41263124,DKO
BC05,Tregs,0,DKO
BC05,CD4 Naive,22.1579433,DKO
