Name,CellTypes,Count,Condition
AD06,cytotoxic.T.cell.type.1,0,WT
AD08,naive.B.cell,0,WT
AD08,precursor.B.cell,220.2662648,WT
AD08,pro.B.cell,61.00902268,WT
AD08,cytotoxic.T.cell.type.2,65.07915794,WT
AD08,CD4+.naive.T.cell,0,WT
AD08,T.helper.cell,0,WT
AD08,naive.CD8+.T.cell,0,WT
AD08,memory.B.cell,0,WT
AD08,cytotoxic.T.cell.type.1,0,WT
AD09,naive.B.cell,0,WT
AD09,precursor.B.cell,27.28508409,WT
AD09,pro.B.cell,15.09275281,WT
AD09,cytotoxic.T.cell.type.2,11.58851448,WT
AD09,CD4+.naive.T.cell,0,WT
AD09,T.helper.cell,0,WT
AD09,naive.CD8+.T.cell,0,WT
AD09,memory.B.cell,0,WT
AD09,cytotoxic.T.cell.type.1,0,WT
AD10,naive.B.cell,0,WT
AD10,precursor.B.cell,19.791758,WT
AD10,pro.B.cell,13.78692491,WT
AD10,cytotoxic.T.cell.type.2,9.913708658,WT
AD10,CD4+.naive.T.cell,0,WT
AD10,T.helper.cell,0,WT
AD10,naive.CD8+.T.cell,0,WT
AD10,memory.B.cell,0,WT
AD10,cytotoxic.T.cell.type.1,0,WT
AD12,naive.B.cell,0,WT
AD12,precursor.B.cell,297.866833,WT
AD12,pro.B.cell,110.8580735,WT
AD12,cytotoxic.T.cell.type.2,85.42756315,WT
AD12,CD4+.naive.T.cell,0,WT
AD12,T.helper.cell,0,WT
AD12,naive.CD8+.T.cell,0,WT
AD12,memory.B.cell,0,WT
AD12,cytotoxic.T.cell.type.1,0,WT
AE02,naive.B.cell,0,WT
AE02,precursor.B.cell,288.2214658,WT
AE02,pro.B.cell,53.26242425,WT
AE02,cytotoxic.T.cell.type.2,67.51610994,WT
AE02,CD4+.naive.T.cell,0,WT
AE02,T.helper.cell,0,WT
AE02,naive.CD8+.T.cell,0,WT
AE02,memory.B.cell,0,WT
AE02,cytotoxic.T.cell.type.1,0,WT
AE04,naive.B.cell,0,WT
AE04,precursor.B.cell,188.7896676,WT
AE04,pro.B.cell,118.5578363,WT
AE04,cytotoxic.T.cell.type.2,60.45182781,WT
AE04,CD4+.naive.T.cell,0,WT
AE04,T.helper.cell,0,WT
AE04,naive.CD8+.T.cell,0,WT
AE04,memory.B.cell,0,WT
AE04,cytotoxic.T.cell.type.1,0,WT
AE06,naive.B.cell,0,WT
AE06,precursor.B.cell,72.50948949,WT
AE06,pro.B.cell,31.94021607,WT
AE06,cytotoxic.T.cell.type.2,26.40880747,WT
AE06,CD4+.naive.T.cell,0,WT
AE06,T.helper.cell,0,WT
AE06,naive.CD8+.T.cell,0,WT
AE06,memory.B.cell,0,WT
AE06,cytotoxic.T.cell.type.1,0,WT
AE08,naive.B.cell,0,DKO
AE08,precursor.B.cell,35.55772504,DKO
AE08,pro.B.cell,24.3209145,DKO
AE08,cytotoxic.T.cell.type.2,17.3005752,DKO
AE08,CD4+.naive.T.cell,0,DKO
AE08,T.helper.cell,0,DKO
AE08,naive.CD8+.T.cell,0,DKO
AE08,memory.B.cell,0,DKO
AE08,cytotoxic.T.cell.type.1,0,DKO
AE10,naive.B.cell,0,DKO
AE10,precursor.B.cell,72.37687483,DKO
AE10,pro.B.cell,41.39473603,DKO
AE10,cytotoxic.T.cell.type.2,25.35167595,DKO
AE10,CD4+.naive.T.cell,0,DKO
AE10,T.helper.cell,0,DKO
AE10,naive.CD8+.T.cell,0,DKO
AE10,memory.B.cell,0,DKO
AE10,cytotoxic.T.cell.type.1,0,DKO
AE12,naive.B.cell,0,DKO
AE12,precursor.B.cell,19.3213337,DKO
AE12,pro.B.cell,21.13250944,DKO
AE12,cytotoxic.T.cell.type.2,15.06987801,DKO
AE12,CD4+.naive.T.cell,0,DKO
AE12,T.helper.cell,0,DKO
